"gender","year","home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","away_manager","attendance","venue","round","date","score","referee"
"M",2022,"Spain","Costa Rica",7,3.5,NA,0,0,NA,"Luis Enrique","Luis Fernando Suárez",40013,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-23","7–0","Mohammed Abdulla Hassan"
"M",2022,"Belgium","Canada",1,0.8,NA,0,2.4,NA,"Roberto Martínez","John Herdman",40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-23","1–0","Janny Sikazwe"
"M",2022,"Argentina","Saudi Arabia",1,2.2,NA,2,0.1,NA,"Lionel Scaloni","Hervé Renard",88012,"Lusail Iconic Stadium, Lusail","Group stage","2022-11-22","1–2","Slavko Vinčič"
"M",2022,"Denmark","Tunisia",0,1.4,NA,0,0.9,NA,"Kasper Hjulmand","Jalel Kadri",42925,"Education City Stadium, Doha","Group stage","2022-11-22","0–0","César Arturo Ramos"
"M",2022,"Mexico","Poland",0,0.7,NA,0,0.9,NA,"Tata Martino","Czesław Michniewicz",39369,"Stadium 974, Doha","Group stage","2022-11-22","0–0","Chris Beath"
"M",2022,"France","Australia",4,4,NA,1,0.5,NA,"Didier Deschamps","Graham Arnold",40875,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-22","4–1","Victor Gomes"
"M",2022,"England","IR Iran",6,2.1,NA,2,1.4,NA,"Gareth Southgate","Carlos Queiroz",45334,"Khalifa International Stadium, Doha","Group stage","2022-11-21","6–2","Raphael Claus"
"M",2022,"Senegal","Netherlands",0,0.9,NA,2,0.7,NA,"Aliou Cissé","Louis van Gaal",41721,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-21","0–2","Wilton Sampaio"
"M",2022,"United States","Wales",1,0.8,NA,1,1.5,NA,"Gregg Berhalter","Rob Page",43418,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-21","1–1","Abdulrahman Ibrahim Al Jassim"
"M",2022,"Qatar","Ecuador",0,0.3,NA,2,1.2,NA,"Félix Sánchez","Gustavo Alfaro",67372,"Al Bayt Stadium, Al Khor","Group stage","2022-11-20","0–2","Daniele Orsato"
"M",2018,"France","Croatia",4,1.1,NA,2,1.1,NA,"Didier Deschamps","Zlatko Dalić",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Final","2018-07-15","4–2","Néstor Pitana"
"M",2018,"Belgium","England",2,1.5,NA,0,1,NA,"Roberto Martínez","Gareth Southgate",64406,"Gazprom Arena, Sankt-Petersburg","Third-place match","2018-07-14","2–0","Alireza Faghani"
"M",2018,"Croatia","England",2,1.7,NA,1,0.6,NA,"Zlatko Dalić","Gareth Southgate",78011,"Olimpiyskiy stadion Luzhniki, Moskva","Semi-finals","2018-07-11","2–1","Cüneyt Çakιr"
"M",2018,"France","Belgium",1,1.7,NA,0,0.4,NA,"Didier Deschamps","Roberto Martínez",64286,"Gazprom Arena, Sankt-Petersburg","Semi-finals","2018-07-10","1–0","Andrés Cunha"
"M",2018,"Sweden","England",0,0.5,NA,2,1,NA,"Janne Andersson","Gareth Southgate",39991,"Cosmos Arena, Samara","Quarter-finals","2018-07-07","0–2","Björn Kuipers"
"M",2018,"Russia","Croatia",2,1,3,2,1.7,4,"Stanislav Cherchesov","Zlatko Dalić",44287,"Olimpiyskiy Stadion Fisht, Sochi","Quarter-finals","2018-07-07","(3) 2–2 (4)","Sandro Ricci"
"M",2018,"Uruguay","France",0,0.9,NA,2,0.5,NA,"Óscar Tabárez","Didier Deschamps",43319,"Stadion Nizhny Novgorod, Nizhny Novgorod","Quarter-finals","2018-07-06","0–2","Néstor Pitana"
"M",2018,"Brazil","Belgium",1,2.8,NA,2,0.5,NA,"Tite","Roberto Martínez",42873,"Kazan Arena, Kazan","Quarter-finals","2018-07-06","1–2","Milorad Mažić"
